City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,chibougamau,49.9168,-74.3659,15.79,36,100,1.54,CA,1715537620
156,yuzhno-kurilsk,44.0306,145.8556,9.1,97,100,6.39,RU,1715537621
157,new norfolk,-42.7826,147.0587,11.62,96,95,1.21,AU,1715537621
158,pudozh,61.8099,36.5345,2.19,67,84,2.24,RU,1715537621
159,puerto wilches,7.3483,-73.896,27.31,81,99,1.0,CO,1715537621
160,kayes,14.0,-11.0,43.67,6,5,5.61,ML,1715537622
161,katabu,-4.9333,122.5167,23.47,94,53,0.86,ID,1715537622
162,west island,-12.1568,96.8225,27.99,83,40,4.63,CC,1715537622
163,moncks corner,33.196,-80.0131,27.7,41,0,2.06,US,1715537497
164,suva,-18.1416,178.4415,17.71,100,20,2.06,FJ,1715537622
165,miranda de ebro,42.6865,-2.947,16.1,68,98,4.41,ES,1715537623
166,howrah,22.5892,88.3103,29.0,79,40,3.6,IN,1715537623
167,lazaro cardenas,17.9583,-102.2,29.81,45,22,4.16,MX,1715537361
168,kone,-21.0595,164.8658,21.53,80,99,1.8,NC,1715537623
169,tanaina,61.6269,-149.4281,7.89,74,100,1.54,US,1715537623
170,bozoum,6.3193,16.3799,27.19,63,98,4.4,CF,1715537624
171,villamontes,-21.25,-63.5,12.8,80,100,1.44,BO,1715537624
172,gorontalo,0.5412,123.0595,24.21,95,87,1.11,ID,1715537624
173,sitka,57.0531,-135.33,7.94,87,75,2.57,US,1715537625
174,ceeldheer,3.8488,47.1806,28.59,76,83,7.34,SO,1715537625
175,teodoro sampaio,-22.5325,-52.1675,34.7,20,23,4.49,BR,1715537625
176,rafaela,-31.2503,-61.4867,17.21,42,100,3.58,AR,1715537411
177,ta`u,-14.2336,-169.5144,28.22,77,68,6.48,AS,1715537626
178,utrik,11.2278,169.8474,27.26,76,98,8.49,MH,1715537626
179,talara,-4.5772,-81.2719,30.42,51,0,7.72,PE,1715537438
180,mbandjok,4.45,11.9,23.48,95,89,1.78,CM,1715537626
181,tralee,52.2704,-9.7026,13.48,72,90,1.84,IE,1715537627
182,san pedro,14.35,121.0167,30.57,79,75,2.68,PH,1715537627
183,mil'kovo,55.6078,37.7956,5.19,61,94,3.34,RU,1715537628
184,colchani,-20.3,-66.9333,14.5,24,30,7.76,BO,1715537628
185,oriximina,-1.7656,-55.8661,26.28,83,99,2.15,BR,1715537628
186,coshocton,40.272,-81.8596,20.82,50,2,1.34,US,1715537628
187,hechuan,29.9947,106.2572,17.27,87,65,1.61,CN,1715537629
188,mariental,-24.6333,17.9667,24.98,25,67,1.55,NA,1715537630
189,alaghsas,17.0187,8.0168,37.96,12,100,3.61,NE,1715537504
190,poronaysk,49.2167,143.1167,4.48,97,100,1.27,RU,1715537630
191,san rafael del sur,11.8485,-86.4384,36.54,42,97,4.79,NI,1715537476
192,nikolayevsk-on-amure,53.1406,140.73,1.23,97,100,1.79,RU,1715537631
193,hanzhong,33.0728,107.0303,17.83,75,33,0.8,CN,1715537508
194,kargil,34.5667,76.1,-1.08,69,42,3.71,IN,1715537631
195,aasiaat,68.7098,-52.8699,2.15,82,100,4.77,GL,1715537632
196,las khorey,11.1595,48.1967,30.87,71,48,1.97,SO,1715537632
197,acajutla,13.5928,-89.8275,31.54,63,100,5.44,SV,1715537632
198,turrialba,9.9047,-83.6835,28.54,86,97,2.44,CR,1715537632
199,metlili chaamba,32.2667,3.6333,31.52,15,0,5.66,DZ,1715537632
200,ust-nera,64.5667,143.2,-5.05,78,83,0.67,RU,1715537633
201,shimonoseki,33.95,130.95,18.0,88,100,5.14,JP,1715537633
202,iskushuban,10.2837,50.23,29.24,60,27,5.05,SO,1715537633
203,sabratah,32.7933,12.4885,24.97,42,78,5.52,LY,1715537360
204,majene,-3.5403,118.9707,25.15,91,35,3.82,ID,1715537633
205,touros,-5.1989,-35.4608,29.57,68,37,6.19,BR,1715537423
206,lebu,-37.6167,-73.65,11.52,67,0,4.23,CL,1715537634
207,kannod,22.6667,76.7333,32.45,34,92,5.14,IN,1715537635
208,taoudenni,22.6783,-3.9836,40.42,6,1,1.52,ML,1715537635
209,kapuskasing,49.4169,-82.4331,10.05,81,100,6.17,CA,1715537635
210,kasane,-17.8167,25.15,21.41,30,1,2.87,BW,1715537635
211,oppdal,62.5943,9.6912,16.19,59,100,1.29,NO,1715537636
212,mount isa,-20.7333,139.5,16.87,48,0,4.63,AU,1715537512
213,borgarnes,64.5383,-21.9206,11.03,87,100,3.7,IS,1715537636
214,georgetown,5.4112,100.3354,26.96,94,40,2.06,MY,1715537401
215,namibe,-15.1961,12.1522,21.79,85,7,2.43,AO,1715537404
216,nemuro,43.3236,145.575,8.78,99,100,11.26,JP,1715537637
217,altai,46.3722,96.2583,14.77,17,49,2.74,MN,1715537637
218,fredrikstad,59.2181,10.9298,17.73,64,39,4.63,NO,1715537637
219,saint-joseph,-21.3667,55.6167,24.21,78,51,5.87,RE,1715537637
220,ghat,24.9647,10.1728,30.91,14,16,5.6,LY,1715537637
221,glace bay,46.1969,-59.957,7.66,96,100,10.29,CA,1715537377
222,kanuru,16.2858,81.2546,29.42,83,0,4.23,IN,1715537638
223,priyutnoye,46.1011,43.5072,12.07,45,93,4.01,RU,1715537638
224,hotan,37.0997,79.9269,23.61,10,68,3.33,CN,1715537638
225,quellon,-43.1167,-73.6167,6.83,72,87,1.58,CL,1715537536
226,cockburn town,21.4612,-71.1419,26.96,75,0,1.15,TC,1715537374
227,belokany,41.7258,46.4083,18.05,86,100,2.73,AZ,1715537639
228,i-n-salah,27.1935,2.4607,33.77,8,2,5.53,DZ,1715537640
229,puerto carreno,6.189,-67.4859,32.99,62,20,3.09,CO,1715537640
230,fort-shevchenko,44.5086,50.263,16.46,84,77,4.27,KZ,1715537640
231,tsiombe,-25.3,45.4833,20.9,84,0,1.49,MG,1715537640
232,sirte,31.2089,16.5887,20.49,68,70,4.8,LY,1715537641
233,igarka,67.4667,86.5833,-0.55,99,81,5.81,RU,1715537641
234,dongcun,36.7767,121.1597,13.73,54,0,1.46,CN,1715537641
235,port alfred,-33.5906,26.891,15.1,93,20,0.85,ZA,1715537641
236,rongelap,11.1635,166.8941,27.25,82,89,8.97,MH,1715537642
237,vilyuchinsk,52.9306,158.4028,4.4,86,100,1.97,RU,1715537540
238,jayapura,-2.5333,140.7,25.66,92,100,1.65,ID,1715537642
239,kongsvinger,60.1905,11.9977,19.69,58,99,2.98,NO,1715537349
240,iquique,-20.2208,-70.1431,18.74,74,1,2.07,CL,1715537503
241,cabedelo,-6.9811,-34.8339,30.37,70,24,4.79,BR,1715537603
242,carnforth,54.1167,-2.7667,19.78,80,100,2.24,GB,1715537354
243,badger,64.8,-147.5333,10.21,52,75,1.54,US,1715537643
244,am timan,11.0297,20.2827,37.04,9,100,2.66,TD,1715537643
245,tual,-5.6667,132.75,27.92,84,100,10.68,ID,1715537643
246,barra de santo antonio,-9.4047,-35.5072,30.6,71,14,2.76,BR,1715537644
247,nelson bay,-32.7167,152.15,15.61,94,36,0.45,AU,1715537645
248,chesma,53.8111,60.6533,9.53,92,100,0.21,RU,1715537645
249,alofi,-19.0595,-169.9187,24.94,69,75,7.2,NU,1715537645
250,hamilton,39.1834,-84.5333,24.23,40,0,3.6,US,1715537407
251,villa dolores,-31.9459,-65.1896,14.77,46,98,0.71,AR,1715537531
252,ravar,31.2656,56.8055,26.2,16,3,0.42,IR,1715537646
253,choibalsan,48.0667,114.5,15.28,31,100,3.82,MN,1715537646
254,whistler,50.1164,-122.9695,19.57,40,40,2.57,CA,1715537647
255,naliya,23.2667,68.8333,28.05,75,2,4.11,IN,1715537647
256,ortona,42.3496,14.4039,20.4,72,50,0.75,IT,1715537647
257,vorkuta,67.5,64.0,-8.27,95,45,3.58,RU,1715537648
258,malango,-2.9627,119.9001,19.13,99,91,1.07,ID,1715537648
259,solikamsk,59.6196,56.7729,-1.65,96,62,2.42,RU,1715537648
260,whitehorse,60.7161,-135.0538,7.79,48,75,8.23,CA,1715537649
261,kingaroy,-26.5333,151.8333,9.91,79,0,1.18,AU,1715537649
262,nyurba,63.2842,118.3319,0.26,98,100,3.88,RU,1715537649
263,castillos,-34.1667,-53.8333,13.55,96,99,1.59,UY,1715537649
264,mahebourg,-20.4081,57.7,25.16,73,40,3.6,MU,1715537650
265,lata,40.1629,-8.3327,18.84,61,85,3.35,PT,1715537650
266,voi,-3.3945,38.563,22.81,78,80,3.08,KE,1715537650
267,choma,-16.8065,26.9531,18.57,53,32,2.53,ZM,1715537650
268,kasaragod,12.5,75.0,27.99,82,42,2.22,IN,1715537589
269,lospalos,-8.5186,127.0025,21.24,94,50,2.68,TL,1715537651
270,parabel',58.6978,81.4825,10.51,51,43,4.02,RU,1715537651
271,ust-tsilma,65.441,52.1498,-1.33,85,100,3.13,RU,1715537651
272,urengoy,65.9667,78.3667,0.14,100,100,3.29,RU,1715537651
273,nanning,22.8167,108.3167,25.25,84,85,1.33,CN,1715537652
274,xichang,27.8964,102.2634,12.93,84,94,1.38,CN,1715537652
275,beira,-19.8436,34.8389,26.05,73,20,5.14,MZ,1715537653
276,klyuchi,52.2667,79.1667,13.77,42,3,2.92,RU,1715537653
277,novodvinsk,64.4165,40.8122,-0.12,72,100,2.04,RU,1715537653
278,kuraymah,18.55,31.85,36.69,9,3,5.87,SD,1715537653
279,tashtagol,52.7657,87.8894,9.73,80,28,0.45,RU,1715537654
280,dowlatabad,32.7998,51.6955,21.82,26,0,4.12,IR,1715537654
281,harper,4.375,-7.7169,28.19,81,100,3.51,LR,1715537654
282,summerside,46.3959,-63.7876,10.38,76,75,5.66,CA,1715537459
283,saipan,15.1355,145.701,28.39,74,20,4.12,MP,1715537655
284,codrington,-38.2667,141.9667,9.97,97,36,3.8,AU,1715537655
285,aykhal,66.0,111.5,-5.37,97,100,3.29,RU,1715537655
286,pyetrykaw,52.1289,28.4921,7.29,73,100,2.78,BY,1715537406
287,bikenibeu village,1.3673,173.1241,27.98,78,40,2.06,KI,1715537655
288,errachidia,31.9275,-4.4285,30.03,12,40,8.23,MA,1715537472
289,waddan,29.1614,16.139,26.55,21,58,4.05,LY,1715537656
290,krasnokuts'k,50.066,35.1628,4.66,74,47,3.35,UA,1715537656
291,quibdo,5.6947,-76.6611,29.19,84,75,3.6,CO,1715537656
292,pathein,16.7833,94.7333,28.33,74,5,2.81,MM,1715537657
293,markovo,57.3206,107.0881,3.27,66,2,1.57,RU,1715537657
294,peniche,39.3558,-9.3811,19.05,78,88,6.57,PT,1715537657
295,hillsboro,45.5229,-122.9898,23.12,50,0,1.34,US,1715537657
296,dakhla,23.6848,-15.958,21.01,73,0,11.32,EH,1715537658
297,axim,4.8699,-2.2405,26.37,89,96,2.2,GH,1715537497
